"run_name","digital","film","predicted","lpips","pieapp","psnr","ssim","baseline_lpips","baseline_pieapp","baseline_psnr","baseline_ssim"
"electric-pond-619","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/986e04de42074ab72961.png","0.2685343325138092","2.201179265975952","11.113187789916992","0.267985463142395","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"eager-puddle-618","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/0c7c74232bef50a96463.png","0.6002160310745239","19.050661087036133","4.957152843475342","0.002744377823546529","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"glad-oath-617","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/195b83e4a45bd6f9a1ac.png","0.4264833331108093","2.498248338699341","15.661246299743652","0.630099356174469","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"fresh-oath-616","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/2cabf99189a4006c25c9.png","0.6403558254241943","5.112302780151367","8.713160514831543","0.057539451867341995","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"unique-durian-615","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/d9ffdd64c58f3135306f.png","0.31741535663604736","1.8868143558502197","19.255794525146484","0.6717450618743896","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"rare-plant-614","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/79e473a272c518ef73c7.png","0.33056288957595825","1.9588849544525146","19.035898208618164","0.6812362670898438","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"fine-cosmos-613","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/80b1130de67ad559531a.png","0.6023769974708557","4.837532997131348","9.837146759033203","0.1709447205066681","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"vocal-haze-612","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/d0ec662dbef2c2c1e486.png","0.5263350009918213","19.049108505249023","4.957156658172607","0.002698963973671198","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"dry-spaceship-611","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/fee9027ca8e97a13c250.png","0.5042491555213928","2.9883880615234375","18.44939613342285","0.6500523686408997","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"devout-night-609","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/7775ce9baba1ce0bcb6e.png","0.6198145151138306","4.504422664642334","9.095779418945312","0.16045039892196655","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"stoic-haze-608","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/f4a0c767ee06b457cab6.png","0.5031049847602844","2.115090847015381","18.609235763549805","0.6522337198257446","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"confused-voice-607","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/323d0688eb1c075c3711.png","0.49960362911224365","2.4204742908477783","18.285091400146484","0.6463750600814819","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"