"run_name","digitalfilepath","filmfilepath","predictedfilepath","lpips","pieapp","psnr","ssim","baseline_lpips","baseline_pieapp","baseline_psnr","baseline_ssim"
"lucky-hill-641","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/946053fae631c712e955.png","0.30256417393684387","1.8710274696350098","18.612707138061523","0.6657862663269043","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"sparkling-armadillo-640","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/2f2fd7ab85fcddc7c327.png","0.34528809785842896","2.8222506046295166","19.922534942626953","0.6550831198692322","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"woven-tree-639","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/2c36a9189afd815352ee.png","0.351532906293869","1.621793508529663","23.187955856323242","0.706527054309845","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"resilient-haze-638","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/485d636eea1a5b9a45bb.png","0.4718374013900757","1.7718746662139893","20.031442642211914","0.6721447110176086","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"celestial-jazz-627","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/f613ed4c5ec78eae752d.png","0.4655350148677826","3.4680674076080322","18.305381774902344","0.6535636186599731","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"lively-violet-626","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/a968510f88a3d8cfe266.png","0.446268230676651","1.4174516201019287","19.668020248413086","0.6804687976837158","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"fallen-flower-625","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/bd099a9f23225012149c.png","0.44816067814826965","1.6120998859405518","20.074440002441406","0.677798330783844","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"grateful-darkness-624","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/2b6833119f0ac7d4700f.png","0.4753497242927551","2.530893325805664","18.26041603088379","0.6559549570083618","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"youthful-smoke-623","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/410f70c6a14131da2c38.png","0.3666580319404602","1.1410109996795654","18.010404586791992","0.6733179688453674","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"splendid-bird-622","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/fcaaa07c0c4173884f93.png","0.30189788341522217","1.8377989530563354","20.1354923248291","0.6615098714828491","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"stellar-fog-621","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/710088828905894817ee.png","0.36304211616516113","1.5835293531417847","17.944692611694336","0.6770249009132385","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"grateful-deluge-620","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/bd1f315a35024013dbe0.png","0.3378402590751648","2.047207832336426","19.7861385345459","0.6707836985588074","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"electric-pond-619","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/986e04de42074ab72961.png","0.2685343325138092","2.201179265975952","11.113187789916992","0.267985463142395","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"eager-puddle-618","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/0c7c74232bef50a96463.png","0.6002160310745239","19.050661087036133","4.957152843475342","0.002744377823546529","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"glad-oath-617","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/195b83e4a45bd6f9a1ac.png","0.4264833331108093","2.498248338699341","15.661246299743652","0.630099356174469","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"fresh-oath-616","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/2cabf99189a4006c25c9.png","0.6403558254241943","5.112302780151367","8.713160514831543","0.057539451867341995","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"unique-durian-615","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/d9ffdd64c58f3135306f.png","0.31741535663604736","1.8868143558502197","19.255794525146484","0.6717450618743896","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"rare-plant-614","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/79e473a272c518ef73c7.png","0.33056288957595825","1.9588849544525146","19.035898208618164","0.6812362670898438","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"fine-cosmos-613","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/80b1130de67ad559531a.png","0.6023769974708557","4.837532997131348","9.837146759033203","0.1709447205066681","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"vocal-haze-612","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/d0ec662dbef2c2c1e486.png","0.5263350009918213","19.049108505249023","4.957156658172607","0.002698963973671198","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"dry-spaceship-611","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/fee9027ca8e97a13c250.png","0.5042491555213928","2.9883880615234375","18.44939613342285","0.6500523686408997","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"devout-night-609","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/7775ce9baba1ce0bcb6e.png","0.6198145151138306","4.504422664642334","9.095779418945312","0.16045039892196655","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"stoic-haze-608","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/f4a0c767ee06b457cab6.png","0.5031049847602844","2.115090847015381","18.609235763549805","0.6522337198257446","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"
"confused-voice-607","media/images/d7ab8789611b6c1af614.png","media/images/562e787df6f1396f5742.png","media/images/323d0688eb1c075c3711.png","0.49960362911224365","2.4204742908477783","18.285091400146484","0.6463750600814819","0.3603357672691345","3.7882673740386963","16.973548889160156","0.6412263512611389"